Date,Price,Open,High,Low,Vol.,Change %
06/01/2022,26.18,26.18,26.76,25.98,52.01K,0.00%
06/02/2022,26.47,27.25,27.25,26.18,13.53K,1.12%
06/05/2022,26.47,26.76,26.96,26.27,39.39K,0.00%
06/06/2022,27.06,27.06,27.35,26.37,84.18K,2.22%
06/07/2022,28.43,27.16,29.51,27.16,377.87K,5.07%
06/08/2022,29.51,28.73,30.10,28.73,342.17K,3.79%
06/09/2022,28.92,28.92,30.00,28.92,304.19K,-1.99%
06/13/2022,27.84,27.84,27.84,27.84,3.74K,-3.73%
06/14/2022,27.35,27.35,27.65,27.35,47.07K,-1.76%
06/15/2022,26.86,26.86,26.96,26.86,71.40K,-1.79%
06/16/2022,27.45,28.33,28.33,26.67,30.48K,2.19%
06/19/2022,26.96,29.02,29.02,26.96,67.53K,-1.79%
06/20/2022,26.47,26.57,26.67,26.47,56.17K,-1.82%
06/21/2022,25.98,26.37,26.37,25.98,36.19K,-1.85%
06/22/2022,25.98,28.04,28.04,25.49,10.86K,0.00%
06/23/2022,26.08,27.75,27.75,25.98,21.82K,0.38%
06/26/2022,25.98,26.08,26.86,25.88,26.01K,-0.38%
06/27/2022,25.69,25.98,26.37,25.59,97.49K,-1.13%
06/28/2022,25.39,25.49,25.98,25.20,95.76K,-1.15%
06/29/2022,25.88,25.49,25.98,25.49,24.52K,1.93%
06/30/2022,26.67,27.16,27.16,26.08,165.01K,3.03%
07/03/2022,26.37,27.84,27.84,26.27,23.87K,-1.10%
07/04/2022,26.27,26.18,26.57,26.08,21.64K,-0.37%
07/05/2022,26.08,26.27,26.47,25.98,64.97K,-0.75%
07/06/2022,26.08,26.18,26.47,26.08,23.80K,0.00%
07/07/2022,26.18,26.18,26.47,26.08,22.14K,0.38%
07/12/2022,26.08,25.88,26.47,25.88,18.24K,-0.37%
07/13/2022,25.98,26.57,26.67,25.98,23.63K,-0.38%
07/14/2022,26.27,25.98,26.57,25.98,25.03K,1.13%
07/17/2022,25.98,26.18,26.67,25.88,44.14K,-1.12%
07/18/2022,25.49,25.98,26.18,25.49,64.94K,-1.89%
07/19/2022,25.20,25.00,26.08,25.00,28.34K,-1.15%
07/20/2022,25.10,25.10,25.49,24.80,71.37K,-0.39%
07/21/2022,25.78,26.18,26.18,25.10,9.04K,2.73%
07/24/2022,25.29,25.29,25.69,25.29,57.22K,-1.90%
07/25/2022,25.29,25.00,25.69,24.80,47.87K,0.00%
07/26/2022,25.49,25.39,25.88,25.39,54.61K,0.78%
07/27/2022,25.00,25.10,25.59,25.00,73.26K,-1.92%
07/28/2022,25.00,24.90,25.59,24.71,26.79K,0.00%
07/31/2022,25.29,25.29,25.88,25.20,28.00K,1.18%
08/01/2022,25.29,25.29,25.69,25.29,29.49K,0.00%
08/02/2022,25.78,25.39,25.88,25.39,35.92K,1.94%
08/03/2022,27.16,26.67,27.94,26.47,236.87K,5.32%
08/04/2022,26.57,27.25,27.25,26.08,21.86K,-2.17%
08/07/2022,26.67,27.84,27.84,26.47,46.52K,0.37%
08/08/2022,26.18,26.67,27.35,26.08,67.41K,-1.84%
08/10/2022,25.69,25.78,25.98,25.59,28.87K,-1.87%
08/11/2022,25.20,25.78,26.57,25.20,121.24K,-1.91%
08/14/2022,25.59,25.39,25.88,25.39,22.38K,1.56%
08/16/2022,25.59,25.29,25.88,25.29,30.46K,0.00%
08/17/2022,25.59,25.59,25.78,25.49,35.54K,0.00%
08/21/2022,25.29,25.39,25.49,25.20,75.15K,-1.15%
08/22/2022,25.29,25.49,25.59,25.20,51.88K,0.00%
08/23/2022,25.39,25.39,25.88,25.29,39.13K,0.39%
08/24/2022,25.29,25.20,25.49,25.20,29.47K,-0.39%
08/25/2022,25.59,25.29,25.98,25.29,111.48K,1.16%
08/28/2022,26.47,25.98,26.67,25.78,103.37K,3.45%
08/29/2022,26.27,26.76,27.16,26.18,161.86K,-0.74%
08/30/2022,26.37,27.25,27.25,26.08,207.41K,0.37%
08/31/2022,26.57,26.37,27.25,26.27,172.45K,0.74%
09/01/2022,27.16,27.06,27.25,26.47,112.01K,2.21%
09/04/2022,26.67,27.65,27.65,26.37,75.91K,-1.81%
09/05/2022,25.98,25.69,26.57,25.69,61.75K,-2.57%
09/06/2022,25.59,26.47,26.47,25.49,27.06K,-1.51%
09/07/2022,25.88,26.76,26.76,25.59,10.27K,1.15%
09/08/2022,25.78,25.88,26.47,25.59,33.60K,-0.38%
09/11/2022,25.29,26.57,26.57,25.20,70.34K,-1.90%
09/12/2022,25.49,26.27,26.27,25.49,21.40K,0.78%
09/13/2022,26.18,25.69,26.47,25.39,45.62K,2.69%
09/14/2022,25.49,25.78,25.88,25.39,30.49K,-2.62%
09/15/2022,25.49,25.49,25.49,25.29,39.92K,0.00%
09/18/2022,25.29,25.49,25.98,25.20,49.11K,-0.77%
09/19/2022,25.20,25.39,25.39,25.20,171.46K,-0.39%
09/20/2022,25.20,25.20,25.20,25.20,33.09K,0.00%
09/21/2022,25.20,25.20,25.20,25.20,21.68K,0.00%
09/22/2022,25.20,25.20,25.20,25.20,68.21K,0.00%
09/25/2022,25.20,25.20,25.20,25.20,20.10K,0.00%
09/26/2022,25.20,25.20,25.20,25.20,3.89K,0.00%
09/27/2022,25.20,25.20,25.20,25.20,1.43K,0.00%
09/28/2022,25.20,25.20,25.20,25.20,3.43K,0.00%
09/29/2022,25.20,25.20,25.20,25.20,21.82K,0.00%
10/02/2022,25.20,25.20,25.20,25.20,7.02K,0.00%
10/03/2022,25.20,25.20,25.20,25.20,3.29K,0.00%
10/04/2022,25.20,25.20,25.20,25.20,5.59K,0.00%
10/06/2022,25.20,25.20,25.20,25.20,1.98K,0.00%
10/10/2022,25.20,25.20,25.20,25.20,0.60K,0.00%
10/11/2022,25.20,25.20,25.20,25.20,5.53K,0.00%
10/12/2022,25.20,25.20,25.49,25.20,42.65K,0.00%
10/13/2022,25.20,25.20,25.20,25.20,4.36K,0.00%
10/17/2022,25.20,25.20,25.60,25.20,10.35K,0.00%
10/18/2022,25.20,25.20,25.20,25.20,0.99K,0.00%
10/19/2022,25.20,25.20,25.20,25.20,0.97K,0.00%
10/20/2022,25.20,25.20,25.20,25.20,0.88K,0.00%
10/23/2022,25.20,25.20,25.20,25.20,1.00K,0.00%
10/24/2022,25.20,25.20,25.20,25.20,0.00K,0.00%
10/25/2022,25.20,25.20,25.20,25.20,0.45K,0.00%
10/26/2022,25.20,25.20,25.20,25.20,2.86K,0.00%
10/27/2022,25.20,25.20,25.20,25.20,0.18K,0.00%
10/30/2022,25.20,25.20,25.20,25.20,3.00K,0.00%
10/31/2022,25.20,25.20,25.20,25.20,8.88K,0.00%
11/01/2022,25.20,25.20,25.20,25.20,0.12K,0.00%
11/02/2022,25.20,25.20,25.20,25.20,10.26K,0.00%
11/03/2022,25.20,25.20,25.20,25.20,1.07K,0.00%
11/06/2022,25.20,25.20,25.20,25.20,1.38K,0.00%
11/07/2022,25.20,25.20,25.20,25.20,0.12K,0.00%
11/08/2022,25.20,25.20,25.20,25.20,1.94K,0.00%
11/09/2022,25.20,25.20,25.20,25.20,4.61K,0.00%
11/10/2022,25.20,25.20,25.20,25.20,0.46K,0.00%
11/13/2022,25.20,25.20,25.20,25.20,0.50K,0.00%
11/14/2022,25.20,25.20,25.20,25.20,0.22K,0.00%
11/15/2022,25.20,25.20,25.20,25.20,2.34K,0.00%
11/16/2022,25.20,25.20,25.20,25.20,0.65K,0.00%
11/17/2022,25.20,25.20,25.20,25.20,0.18K,0.00%
11/21/2022,25.20,25.20,25.20,25.20,0.35K,0.00%
11/22/2022,25.20,25.20,25.20,25.20,0.95K,0.00%
11/23/2022,25.20,25.20,25.20,25.20,0.01K,0.00%
11/28/2022,25.20,25.20,25.20,25.20,0.01K,0.00%
11/29/2022,25.20,25.20,25.20,25.20,0.10K,0.00%
11/30/2022,25.20,25.20,25.20,25.20,0.10K,0.00%
12/05/2022,25.20,25.20,25.20,25.20,2.88K,0.00%
12/06/2022,25.20,25.20,25.20,25.20,0.20K,0.00%
12/07/2022,25.20,25.20,25.20,25.20,1.00K,0.00%
12/11/2022,25.20,25.20,25.20,25.20,0.23K,0.00%
12/12/2022,25.20,25.20,25.20,25.20,0.03K,0.00%
12/13/2022,25.20,25.20,25.20,25.20,0.23K,0.00%
12/14/2022,25.20,25.20,25.20,25.20,0.40K,0.00%
12/15/2022,25.20,25.20,25.20,25.20,0.83K,0.00%
12/20/2022,25.20,25.20,25.20,25.20,0.05K,0.00%
12/21/2022,25.20,25.20,25.20,25.20,0.29K,0.00%
12/28/2022,25.20,25.20,25.20,25.20,0.01K,0.00%
12/29/2022,25.20,25.20,25.20,25.20,0.04K,0.00%
01/03/2023,25.20,25.20,25.20,25.20,0.00K,0.00%
01/04/2023,25.20,25.20,25.20,25.20,0.16K,0.00%
01/08/2023,25.20,25.20,25.20,25.20,0.01K,0.00%
01/09/2023,25.20,25.20,25.20,25.20,0.02K,0.00%
01/12/2023,25.20,25.20,25.20,25.20,14.14K,0.00%
01/15/2023,25.20,25.20,25.20,25.20,0.01K,0.00%
01/16/2023,25.20,25.20,25.20,25.20,0.37K,0.00%
01/17/2023,25.20,25.20,25.20,25.20,16.78K,0.00%
01/18/2023,25.20,25.20,25.20,25.20,3.81K,0.00%
01/19/2023,25.20,25.20,26.60,25.20,36.10K,0.00%
01/22/2023,25.30,26.20,26.20,25.20,12.39K,0.40%
01/23/2023,25.20,25.20,25.20,25.20,0.70K,-0.40%
01/24/2023,25.20,25.20,25.20,25.20,2.20K,0.00%
01/25/2023,25.20,25.20,25.20,25.20,1.26K,0.00%
01/29/2023,25.20,25.20,25.20,25.20,1.50K,0.00%
01/31/2023,25.20,25.20,25.20,25.20,1.08K,0.00%
02/01/2023,25.20,25.20,25.20,25.20,0.00K,0.00%
02/02/2023,25.20,25.20,25.20,25.20,0.30K,0.00%
02/05/2023,25.20,25.20,25.20,25.20,0.07K,0.00%
02/06/2023,25.20,25.20,25.20,25.20,1.01K,0.00%
02/08/2023,25.20,25.20,25.20,25.20,1.18K,0.00%
02/09/2023,25.20,25.20,25.20,25.20,3.96K,0.00%
02/12/2023,25.20,25.20,25.20,25.20,1.00K,0.00%
02/14/2023,25.20,25.20,25.20,25.20,10.00K,0.00%
02/19/2023,25.20,25.20,25.20,25.20,0.01K,0.00%
02/20/2023,25.20,25.20,25.20,25.20,0.45K,0.00%
02/22/2023,25.20,25.20,25.20,25.20,0.01K,0.00%
02/27/2023,25.20,25.20,25.20,25.20,0.10K,0.00%
02/28/2023,25.20,25.20,25.20,25.20,0.06K,0.00%
03/01/2023,25.20,25.20,25.20,25.20,3.00K,0.00%
03/02/2023,25.20,25.20,25.20,25.20,1.35K,0.00%
03/05/2023,25.20,25.20,25.20,25.20,0.00K,0.00%
03/06/2023,25.20,25.20,25.20,25.20,0.10K,0.00%
03/07/2023,25.20,25.20,25.20,25.20,0.00K,0.00%
