Date,Price,Open,High,Low,Vol.,Change %
05/14/2023,23.50,23.50,23.50,23.50,1.47K,0.00%
05/15/2023,23.50,23.50,23.50,23.50,0.97K,0.00%
05/16/2023,23.50,23.50,23.50,23.50,50.15K,0.00%
05/17/2023,23.50,23.50,23.50,23.50,1.10K,0.00%
05/18/2023,23.50,23.50,23.50,23.50,191.28K,0.00%
05/21/2023,23.50,23.50,23.50,23.50,30.94K,0.00%
05/22/2023,23.50,23.50,23.50,23.50,8.08K,0.00%
05/23/2023,23.50,23.50,23.50,23.50,0.38K,0.00%
05/24/2023,23.50,23.50,23.50,23.50,4.02K,0.00%
05/25/2023,23.50,23.50,23.50,23.50,10.48K,0.00%
05/28/2023,23.50,23.50,23.50,23.50,11.52K,0.00%
05/29/2023,23.50,23.50,23.50,23.50,3.90K,0.00%
05/30/2023,23.50,23.50,23.50,23.50,0.80K,0.00%
05/31/2023,23.50,23.50,23.50,23.50,4.28K,0.00%
06/01/2023,23.50,23.50,23.50,23.50,2.25K,0.00%
06/04/2023,23.50,23.50,23.50,23.50,0.51K,0.00%
06/05/2023,23.50,23.50,23.50,23.50,9.52K,0.00%
06/06/2023,23.50,23.50,23.50,23.50,0.50K,0.00%
06/07/2023,23.50,23.50,23.50,23.50,0.02K,0.00%
06/08/2023,23.50,23.50,23.50,23.50,2.00K,0.00%
06/11/2023,23.50,23.50,23.50,23.50,1.01K,0.00%
06/12/2023,23.50,23.50,23.50,23.50,2.81K,0.00%
06/13/2023,23.50,23.50,23.50,23.50,0.01K,0.00%
06/14/2023,23.50,23.50,23.50,23.50,0.00K,0.00%
06/18/2023,23.50,23.50,23.50,23.50,0.43K,0.00%
06/19/2023,23.50,23.50,23.50,23.50,0.50K,0.00%
06/20/2023,23.50,23.50,23.50,23.50,1.48K,0.00%
06/21/2023,23.50,23.50,23.50,23.50,8.61K,0.00%
06/22/2023,23.50,23.50,23.50,23.50,6.00K,0.00%
06/25/2023,23.50,23.50,23.50,23.50,7.69K,0.00%
06/26/2023,23.50,23.50,23.50,23.50,4.17K,0.00%
07/02/2023,23.50,23.50,23.50,23.50,39.18K,0.00%
07/03/2023,24.10,23.50,24.80,23.50,23.63M,2.55%
07/04/2023,26.50,23.80,26.50,23.60,16.56M,9.96%
07/05/2023,29.10,27.00,29.10,25.70,20.23M,9.81%
07/06/2023,32.00,29.90,32.00,29.70,17.25M,9.97%
07/09/2023,35.20,32.90,35.20,32.30,9.61M,10.00%
07/10/2023,34.10,34.70,38.70,32.80,26.50M,-3.13%
07/11/2023,37.50,36.00,37.50,33.60,16.84M,9.97%
07/12/2023,39.00,37.60,41.00,37.60,17.84M,4.00%
07/13/2023,42.90,39.00,42.90,38.40,15.73M,10.00%
07/16/2023,43.50,44.00,46.90,42.80,15.19M,1.40%
07/17/2023,40.00,43.20,43.40,39.20,19.81M,-8.05%
07/18/2023,37.30,41.00,42.70,36.60,17.14M,-6.75%
07/19/2023,40.30,37.80,40.70,36.30,12.37M,8.04%
07/20/2023,36.80,40.70,40.70,36.40,11.91M,-8.68%
07/23/2023,33.90,36.80,38.60,33.30,11.02M,-7.88%
07/24/2023,35.30,33.90,36.70,33.60,8.63M,4.13%
07/25/2023,34.10,36.00,36.90,33.60,7.45M,-3.40%
07/26/2023,35.20,34.10,35.70,33.80,7.43M,3.23%
07/27/2023,38.10,35.40,38.50,35.30,10.77M,8.24%
07/30/2023,37.50,39.00,40.20,36.60,11.08M,-1.57%
07/31/2023,34.90,37.50,37.50,34.30,10.04M,-6.93%
08/01/2023,36.20,35.30,36.60,34.90,5.37M,3.72%
08/02/2023,35.30,36.80,37.30,35.00,6.44M,-2.49%
08/03/2023,34.40,35.50,35.60,34.10,5.64M,-2.55%
08/06/2023,33.90,35.00,35.00,33.70,4.18M,-1.45%
08/07/2023,34.50,34.00,35.00,33.70,5.44M,1.77%
08/08/2023,34.80,35.00,36.00,34.50,4.65M,0.87%
08/09/2023,31.80,34.80,35.00,31.50,8.44M,-8.62%
08/10/2023,31.40,31.80,32.10,30.70,7.55M,-1.26%
08/13/2023,28.30,31.60,32.00,28.30,7.06M,-9.87%
08/14/2023,25.90,27.80,27.90,25.50,8.85M,-8.48%
08/16/2023,27.70,26.00,28.40,25.80,6.30M,6.95%
08/17/2023,30.30,28.80,30.40,28.30,9.39M,9.39%
08/20/2023,33.30,30.20,33.30,29.40,10.55M,9.90%
08/21/2023,35.90,34.00,36.50,33.80,11.22M,7.81%
08/22/2023,35.60,35.70,37.90,34.80,12.68M,-0.84%
08/23/2023,35.00,35.50,37.10,34.80,10.16M,-1.69%
08/24/2023,33.10,35.60,35.60,32.70,11.37M,-5.43%
08/27/2023,36.30,33.30,36.40,32.90,9.17M,9.67%
08/28/2023,36.00,37.00,38.40,35.40,13.53M,-0.83%
08/29/2023,36.20,35.00,36.90,34.80,9.98M,0.56%
08/30/2023,38.20,37.00,39.00,37.00,13.18M,5.52%
08/31/2023,40.60,38.00,41.50,37.00,14.77M,6.28%
09/03/2023,40.40,41.20,42.60,39.80,13.63M,-0.49%
09/04/2023,41.60,39.70,43.00,39.60,15.90M,2.97%
09/05/2023,42.90,42.00,43.50,40.50,14.55M,3.13%
09/07/2023,41.30,43.20,44.30,40.30,13.30M,-3.73%
09/10/2023,37.40,41.00,41.10,37.20,14.42M,-9.44%
09/11/2023,37.50,36.40,38.20,36.20,9.58M,0.27%
09/12/2023,38.50,38.50,39.80,38.00,8.87M,2.67%
09/13/2023,35.60,38.80,38.80,34.90,13.75M,-7.53%
09/14/2023,34.00,35.20,36.40,33.20,9.64M,-4.49%
09/17/2023,35.70,34.00,36.40,32.10,9.70M,5.00%
09/18/2023,33.90,36.20,36.50,33.30,7.59M,-5.04%
09/19/2023,32.40,33.70,33.90,32.10,7.25M,-4.42%
"﻿""09/20/2023""",33.60,33.00,34.40,32.40,5.50M,3.70%
