Date,Price,Open,High,Low,Vol.,Change %
12/06/2022,64.40,64.30,64.90,64.30,49.35K,0.16%
12/07/2022,64.40,65.60,65.60,64.40,94.38K,0.00%
12/08/2022,64.40,64.40,64.50,64.30,47.80K,0.00%
12/11/2022,65.00,64.40,65.40,64.40,54.17K,0.93%
12/12/2022,65.70,66.80,68.00,64.50,118.05K,1.08%
12/13/2022,65.00,66.00,66.20,64.80,92.25K,-1.07%
12/14/2022,64.40,64.50,66.50,64.30,36.26K,-0.92%
12/15/2022,64.50,65.80,65.80,64.30,39.63K,0.16%
12/18/2022,64.30,64.30,64.40,64.30,29.58K,-0.31%
12/19/2022,64.30,64.30,64.60,64.30,43.76K,0.00%
12/20/2022,64.30,64.30,65.90,64.30,54.46K,0.00%
12/21/2022,64.30,64.30,64.30,64.30,3.08K,0.00%
12/22/2022,64.30,64.30,64.30,64.30,6.61K,0.00%
12/26/2022,64.30,64.30,64.30,64.30,0.56K,0.00%
12/27/2022,64.30,64.30,64.30,64.30,0.79K,0.00%
12/28/2022,64.30,64.30,64.70,64.30,166.02K,0.00%
12/29/2022,65.00,64.50,65.40,64.30,137.80K,1.09%
01/01/2023,64.50,65.00,66.30,64.30,150.14K,-0.77%
01/02/2023,64.30,66.10,66.10,64.30,87.81K,-0.31%
01/03/2023,64.30,64.30,65.00,64.30,24.86K,0.00%
01/04/2023,65.20,65.00,65.40,64.30,100.08K,1.40%
01/05/2023,69.00,65.80,69.50,65.20,471.82K,5.83%
01/08/2023,70.10,69.50,72.70,69.10,369.38K,1.59%
01/09/2023,68.20,69.10,70.70,68.00,437.00K,-2.71%
01/10/2023,68.50,67.80,69.00,67.60,147.69K,0.44%
01/11/2023,70.70,68.10,71.80,68.10,308.89K,3.21%
01/12/2023,73.80,71.10,75.40,70.50,614.53K,4.38%
01/15/2023,74.90,73.20,75.20,73.10,346.84K,1.49%
01/16/2023,71.40,75.30,75.30,71.00,560.56K,-4.67%
01/17/2023,73.30,73.00,75.00,70.40,346.00K,2.66%
01/18/2023,73.70,75.00,76.40,73.30,427.79K,0.55%
01/19/2023,74.60,72.70,75.40,72.20,249.02K,1.22%
01/22/2023,72.10,74.60,76.20,71.80,231.03K,-3.35%
01/23/2023,72.70,73.80,73.90,71.70,264.17K,0.83%
01/24/2023,72.60,72.90,73.70,71.90,307.33K,-0.14%
01/25/2023,79.80,73.90,79.80,72.30,1.59M,9.92%
01/26/2023,82.70,82.00,85.30,81.00,687.96K,3.63%
01/29/2023,80.00,82.90,83.20,79.70,667.24K,-3.26%
01/30/2023,78.70,80.50,80.50,76.90,462.47K,-1.63%
01/31/2023,81.50,79.40,84.50,79.40,928.24K,3.56%
02/01/2023,80.30,81.70,84.00,79.60,589.62K,-1.47%
02/02/2023,81.30,79.70,82.60,79.30,554.35K,1.25%
02/05/2023,78.90,81.90,84.00,78.00,786.99K,-2.95%
02/06/2023,75.80,78.90,79.20,75.30,342.35K,-3.93%
02/07/2023,73.80,75.20,77.40,72.60,383.93K,-2.64%
02/08/2023,75.00,74.20,76.40,73.60,337.60K,1.63%
02/09/2023,74.00,75.30,76.10,73.60,233.29K,-1.33%
02/12/2023,72.70,73.80,75.70,72.10,275.75K,-1.76%
02/13/2023,71.20,72.50,73.90,70.70,276.12K,-2.06%
02/14/2023,70.50,72.90,72.90,70.10,182.79K,-0.98%
02/15/2023,68.60,69.80,71.20,68.30,148.59K,-2.70%
02/16/2023,69.60,68.90,70.60,67.10,123.08K,1.46%
02/19/2023,68.30,70.50,70.50,68.00,52.53K,-1.87%
02/20/2023,66.10,67.60,69.00,66.00,110.14K,-3.22%
02/22/2023,68.40,67.00,68.80,66.20,56.43K,3.48%
02/23/2023,67.50,68.10,69.00,66.40,61.55K,-1.32%
02/26/2023,65.10,68.50,68.50,64.40,218.01K,-3.56%
02/27/2023,66.70,64.30,67.30,64.30,51.42K,2.46%
02/28/2023,70.10,66.70,70.60,66.00,155.82K,5.10%
03/01/2023,69.50,70.10,71.90,68.30,222.35K,-0.86%
03/02/2023,70.30,69.50,71.40,68.00,134.42K,1.15%
03/05/2023,71.90,72.60,76.00,71.00,200.38K,2.28%
03/06/2023,72.80,72.50,74.90,71.60,236.31K,1.25%
03/07/2023,74.50,70.50,76.00,70.50,385.71K,2.34%
03/09/2023,73.10,75.50,76.30,72.60,255.89K,-1.88%
03/12/2023,69.80,73.10,73.20,69.30,175.46K,-4.51%
03/13/2023,73.90,71.40,76.00,70.00,436.28K,5.87%
03/14/2023,74.20,74.60,75.30,72.00,240.41K,0.41%
03/15/2023,72.10,75.00,76.50,71.00,501.53K,-2.83%
03/16/2023,70.90,72.70,72.70,70.00,190.18K,-1.66%
03/19/2023,68.10,70.50,71.20,67.30,181.32K,-3.95%
03/20/2023,68.70,70.30,70.30,68.00,66.39K,0.88%
03/21/2023,70.60,68.70,71.40,68.70,107.68K,2.77%
03/22/2023,68.50,70.10,71.50,67.50,77.74K,-2.97%
03/23/2023,68.90,68.80,69.60,67.80,67.87K,0.58%
03/27/2023,68.70,70.00,70.00,67.90,80.43K,-0.29%
03/28/2023,68.80,71.20,71.20,67.70,68.13K,0.15%
03/29/2023,67.70,68.10,69.00,67.40,47.99K,-1.60%
03/30/2023,68.80,68.70,69.10,67.70,58.56K,1.62%
04/02/2023,69.70,70.90,70.90,68.30,75.22K,1.31%
04/03/2023,69.80,70.00,71.30,69.20,143.53K,0.14%
04/04/2023,68.00,70.50,70.90,67.80,172.86K,-2.58%
04/05/2023,67.50,69.70,69.70,67.10,78.61K,-0.74%
04/06/2023,67.20,69.00,69.00,67.00,69.03K,-0.44%
04/09/2023,66.50,67.00,67.00,65.80,148.58K,-1.04%
04/10/2023,66.40,65.40,67.00,65.20,18.76K,-0.15%
04/11/2023,67.70,67.60,68.80,67.00,52.95K,1.96%
04/12/2023,67.60,68.90,68.90,67.10,57.07K,-0.15%
04/13/2023,66.50,67.60,68.10,66.10,32.72K,-1.63%
04/16/2023,66.00,66.50,67.10,65.70,41.25K,-0.75%
04/17/2023,66.50,67.50,67.50,65.90,51.64K,0.76%
04/18/2023,68.00,66.00,68.70,66.00,91.18K,2.26%
04/24/2023,67.20,67.50,67.90,66.70,57.82K,-1.18%
04/25/2023,67.10,68.80,68.80,66.80,132.93K,-0.15%
04/26/2023,66.70,68.40,68.40,66.40,113.47K,-0.60%
04/27/2023,67.90,66.30,68.30,66.10,175.83K,1.80%
04/30/2023,67.90,68.20,69.00,67.30,185.25K,0.00%
05/02/2023,66.70,67.70,68.00,66.50,139.20K,-1.77%
05/03/2023,67.60,66.80,68.50,66.70,157.43K,1.35%
05/07/2023,66.60,67.60,67.70,66.40,99.21K,-1.48%
05/08/2023,66.00,68.00,68.30,65.60,123.63K,-0.90%
05/09/2023,65.50,66.00,66.90,65.20,140.31K,-0.76%
05/10/2023,65.30,65.80,66.30,65.00,71.02K,-0.31%
05/11/2023,64.40,65.20,65.40,64.30,190.76K,-1.38%
05/14/2023,64.90,64.40,65.20,64.30,120.07K,0.78%
05/15/2023,65.60,66.60,66.60,65.50,108.37K,1.08%
05/16/2023,66.00,65.70,66.60,65.70,126.79K,0.61%
05/17/2023,68.90,66.60,69.10,66.60,411.02K,4.39%
05/18/2023,69.90,69.70,71.90,69.00,494.37K,1.45%
05/21/2023,68.70,68.90,71.20,68.40,259.31K,-1.72%
05/22/2023,67.60,69.60,69.60,64.40,132.65K,-1.60%
05/23/2023,70.80,69.00,71.10,67.00,395.40K,4.73%
05/24/2023,72.40,70.80,73.60,70.50,653.16K,2.26%
05/25/2023,77.80,72.20,79.60,72.20,1.54M,7.46%
05/28/2023,81.10,79.40,82.30,76.50,705.37K,4.24%
05/29/2023,76.90,81.60,81.80,75.40,534.77K,-5.18%
05/30/2023,77.60,76.90,78.80,75.10,463.45K,0.91%
05/31/2023,81.90,78.00,85.30,78.00,2.17M,5.54%
06/01/2023,87.90,81.90,89.00,81.90,1.47M,7.33%
06/04/2023,91.60,89.70,95.00,88.00,2.09M,4.21%
06/05/2023,86.00,91.50,91.80,85.00,1.13M,-6.11%
