Date,Price,Open,High,Low,Vol.,Change %
08/28/2022,21.10,20.30,21.40,20.00,3.61M,6.03%
08/29/2022,23.10,21.30,23.20,21.30,9.33M,9.48%
08/30/2022,23.80,23.50,24.80,23.50,6.15M,3.03%
08/31/2022,22.20,23.80,23.80,21.80,5.70M,-6.72%
09/01/2022,21.80,22.10,23.20,21.20,3.21M,-1.80%
09/04/2022,20.80,21.50,22.80,20.60,1.77M,-4.59%
09/05/2022,21.00,20.70,22.30,20.60,2.33M,0.96%
09/06/2022,20.80,21.10,21.50,20.60,1.03M,-0.95%
09/07/2022,20.90,21.00,21.70,20.60,1.72M,0.48%
09/08/2022,20.30,20.90,21.90,19.00,2.26M,-2.87%
09/11/2022,19.60,20.10,20.50,19.50,1.38M,-3.45%
09/12/2022,19.40,19.90,20.20,19.20,1.08M,-1.02%
09/13/2022,19.60,19.50,20.10,19.40,814.01K,1.03%
09/14/2022,19.30,19.80,20.10,19.10,849.55K,-1.53%
09/15/2022,18.60,19.30,19.70,18.40,868.26K,-3.63%
09/18/2022,18.50,19.30,19.30,18.30,588.92K,-0.54%
09/19/2022,18.20,18.00,18.50,17.40,1.31M,-1.62%
09/20/2022,18.00,19.00,19.10,17.80,1.06M,-1.10%
09/21/2022,17.30,18.20,18.20,17.30,1.60M,-3.89%
09/22/2022,17.50,17.60,18.20,17.30,907.91K,1.16%
09/25/2022,18.30,17.50,18.70,17.50,1.20M,4.57%
09/26/2022,17.40,18.30,18.50,17.30,1.15M,-4.92%
09/27/2022,17.50,17.40,17.70,17.40,465.73K,0.57%
09/28/2022,17.30,17.60,17.60,17.30,548.01K,-1.14%
09/29/2022,17.30,17.40,17.50,17.30,457.64K,0.00%
10/02/2022,17.90,17.30,18.20,17.30,948.40K,3.47%
10/03/2022,17.60,18.10,18.20,17.40,559.02K,-1.68%
10/04/2022,17.30,17.50,17.50,17.30,600.20K,-1.70%
10/06/2022,17.30,17.30,17.40,17.30,169.67K,0.00%
10/10/2022,17.30,17.30,17.30,17.30,19.13K,0.00%
10/11/2022,17.30,17.30,17.30,17.30,19.94K,0.00%
